JavaFile,CatchQuantity,CatchSLOC,CatchLOC,OverCatchAntiPattern,AbortAndOvercatch,CatchAndReturnNull,CatchAndDoNothing,CatchGeneric,DummyHandler,LogAndReturnNull,MultiLineLog,NestedTry,RelyingOnGetCause,IncompleteImplementation,DestructiveWrapping,CatchRecoverability
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSCredentialProviderList.java,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/InconsistentAmazonS3Client.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSServiceThrottledException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AFileStatus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ClientFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/SimpleAWSCredentialsProvider.java,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AInputStream.java,8,11,14,0,0,0,0,4,0,0,0,0,0,1,0,8
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSServiceIOException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ADataBlocks.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/InconsistentS3Object.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AInstrumentation.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AFileSystem.java,31,53,65,1,0,0,2,20,0,0,0,3,0,1,0,31
